mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-2.0857985,-9.217602,-13.230059,-12.868306,-15.795763,-19.913845,-15.9435005,-22.143707,-25.39349,-26.279846,-24.36811,-28.921558,-33.142044,0.05931084630367208,6.116331481933595e-05,0.04858125090457352,0.00011648748779296875,0.7958943299357196,0.00016755242919921877
-1.9722073,-8.766638,-12.119883,-12.693004,-15.426455,-18.8445,-15.625885,-22.013828,-24.939339,-25.94962,-23.517385,-28.265112,-32.659615,0.05988919517110067,5.7149032592773435e-05,0.04942185894522345,9.897691345214843e-05,0.7949064418035012,0.0001741787109375
-2.1877556,-9.408365,-13.130754,-13.000202,-15.436005,-18.768284,-15.33268,-22.103348,-25.43745,-25.81143,-23.568562,-28.546585,-32.95733,0.059043973408794546,6.256956481933595e-05,0.04963704936760318,0.00011385955810546876,0.7940853149547332,0.00016650267028808595
-1.9450839,-8.608221,-12.418482,-11.460745,-14.601396,-18.658834,-15.171431,-21.000435,-24.094694,-25.32132,-23.502552,-28.088612,-32.201225,0.059415462158891666,6.163133239746094e-05,0.04879670864324829,0.00010441246032714845,0.7932537876715582,0.00013614500427246092
-1.9273264,-7.44829,-9.946742,-11.120886,-14.090622,-18.208473,-15.168312,-21.604961,-23.708824,-24.479752,-23.24081,-27.996231,-32.082924,0.058622518979017886,5.672166442871093e-05,0.04867616980449404,9.787901306152346e-05,0.7949243032057508,0.00012185118103027342
-2.0181406,-8.120893,-10.510847,-11.002383,-13.719341,-17.934675,-14.550274,-20.413994,-23.72395,-25.018291,-23.133785,-27.517618,-31.726162,0.059447555381363766,6.268479919433592e-05,0.048819217937601814,0.00010064146423339844,0.7959241991612938,0.00011562127685546878
-1.2304993,-6.4449987,-8.386913,-10.233443,-13.667927,-16.422136,-13.587677,-19.987362,-23.154266,-23.691568,-22.097845,-26.666134,-31.13028,0.05845843750918788,6.515985107421875e-05,0.04814665072033503,7.851829528808593e-05,0.794489296074622,0.00011333250427246092
-1.0434289,-6.2592335,-8.190414,-9.929639,-12.080177,-15.335042,-13.503871,-18.928093,-22.196156,-23.99639,-22.50843,-25.771534,-30.912466,0.05973076495598029,5.5812973022460924e-05,0.0488478085325995,0.00011201074218749998,0.7961844721828711,0.00016311326599121093
-21.032242,-23.35901,-16.777374,-18.002472,-25.645708,-29.280823,-26.476017,-33.074257,-39.10138,-37.97766,-38.625656,-46.065372,-49.74185,0.059011660700515896,5.509690856933594e-05,0.049447786787318024,9.093870544433594e-05,0.7931329590598731,0.0001303491058349609
-8.091996,-12.664619,-10.31799,-11.73155,-17.190128,-19.434309,-15.849355,-25.880222,-28.29913,-28.770378,-27.687462,-33.2227,-37.25531,0.05942547710453457,5.2691635131835946e-05,0.04855690298143445,0.00010040940856933595,0.7955335580399946,0.00012175340270996093
-1.9424795,-6.7175393,-9.473541,-9.843516,-13.023805,-16.327045,-13.568968,-20.267406,-23.075327,-23.729977,-21.981976,-26.799568,-30.79974,0.06004530150163188,5.588525390624999e-05,0.048825312418995334,9.413909912109375e-05,0.7942108018212118,0.00010526121520996093
-1.6474814,-6.36373,-8.164757,-9.185713,-12.323648,-16.597412,-12.4343605,-19.781696,-22.537739,-23.346888,-21.139378,-25.835197,-30.203812,0.05947603964616497,5.9625106811523445e-05,0.048978051077035394,9.29741058349609e-05,0.7937982595596206,8.281553649902343e-05
-1.7694169,-7.2732506,-9.985916,-10.506342,-13.494627,-17.581203,-14.27708,-20.462652,-23.817368,-24.20728,-22.510578,-27.261007,-31.088587,0.05904358576112438,5.017034912109375e-05,0.0486883938160093,0.00011022581481933594,0.7953622858619112,9.161981201171873e-05
-1.7079902,-6.1937313,-8.103516,-9.71402,-12.938407,-16.727077,-14.399168,-20.234266,-22.996346,-23.45905,-21.460659,-26.5562,-31.039894,0.05900390301741964,4.777525329589843e-05,0.04889214553004654,0.00010141748046875,0.7953003840095038,7.392539978027344e-05
-1.8808644,-5.568718,-7.3033347,-9.005649,-12.039017,-14.971428,-12.332879,-19.496668,-22.058083,-22.183224,-20.66204,-25.678062,-29.8672,0.05934621012541576,5.846624755859375e-05,0.04819036627135332,7.606980895996093e-05,0.794641804163252,8.878485107421874e-05
-11.597341,-15.344101,-11.824076,-12.083191,-18.966095,-24.140339,-19.074265,-27.216766,-31.200113,-31.535492,-30.857391,-36.45518,-40.26568,0.058665841067891675,6.588934326171875e-05,0.049423402649880224,9.307432556152344e-05,0.7941171640963945,9.922357177734373e-05
-1.4926081,-6.4706826,-8.446615,-8.584986,-11.915779,-16.510078,-13.249072,-19.541801,-22.893774,-23.045435,-21.475971,-26.078205,-30.262964,0.05854828965631437,4.711570739746093e-05,0.04946861181282026,0.00011681878662109375,0.795190449101218,9.166082763671873e-05
-7.616831,-11.649115,-12.052375,-13.0736,-17.097736,-20.675636,-18.813887,-24.833141,-28.25652,-28.188725,-26.80621,-32.041416,-36.383606,0.05901450492880701,5.3602890014648446e-05,0.048166771137339845,9.558905029296876e-05,0.7941903882588446,9.144891357421875e-05
-5.451448,-7.810071,-8.871457,-7.456881,-12.69941,-16.87001,-14.16763,-21.375359,-25.023716,-23.14991,-22.322063,-27.89761,-31.583986,0.05922034752132813,4.905828857421875e-05,0.04957891535376959,0.00010657659912109374,0.794905117298796,6.029974365234375e-05
-1.6838928,-8.800844,-12.200272,-11.615562,-13.522659,-18.307953,-16.902893,-18.986206,-21.81453,-23.511045,-23.182629,-27.203053,-31.324566,0.059397353933461336,8.7489990234375e-05,0.0499522171582347,0.00017883238220214845,0.7946046760411893,0.0001477199554443359
